Country,ODBRank,ODB_Score_Scaled,ODB_Score_Change,Rank_Change,Readiness_Scaled,Implementation_Scaled,Impact_Scaled,Readiness_Policies_Scaled,Readiness_Action_Scaled,Readiness_Civil_Scaled,Readiness_Business_Scaled,Readiness_Rank,Implementation_Innovation_Scaled,Implementation_Social_Scaled,Implementation_Accountability_Scaled,Implementation_Datasets_Average,Implementation_Rank,Impact_Political_Scaled,Impact_Social_Scaled,Impact_Economic_Scaled,Impact_Rank
Ethiopia,81,16.14,9.51,-3,47,9,0,47,47,49,46,51,9,22,9,13.33,95,0,0,0,98
Togo,81,15.65,,,23,24,0,29,24,28,19,93,6,47,26,26.33,65,0,0,0,112
Nepal,83,15.49,2.4,-15,23,14,17,13,27,42,18,95,8,7,39,18,81,9,15,16,48
Montenegro,83,14.54,,,33,13,4,29,28,50,29,78,17,25,9,17,83,10,0,0,84
Egypt,85,13.89,5.15,-10,27,14,6,21,26,30,36,85,13,20,21,18,80,0,10,4,76
El Salvador,85,13.88,,,20,20,4,12,19,40,19,100,36,22,11,23,70,10,0,0,83
Kyrgyzstan,87,13.24,,,23,13,11,18,21,41,20,97,11,26,13,16.67,85,10,10,7,65
Jordan,87,12.58,2.26,-17,28,11,6,36,26,17,35,84,13,20,13,15.33,89,0,0,11,78
Saint Lucia,87,12.53,-2.12,-21,33,10,0,37,26,43,33,75,20,13,11,14.67,93,0,0,0,108
DR Congo,90,12.38,,,35,9,0,28,32,30,52,73,24,9,7,13.33,94,0,0,0,96
Venezuela,90,11.62,4.83,-12,15,19,4,5,14,23,26,105,29,28,9,22,72,10,0,0,87
Uganda,90,11.59,1.67,-20,26,11,4,28,24,37,22,87,24,11,12,15.67,88,10,0,0,86
Côte d’Ivoire,93,11.48,,,35,7,0,17,46,46,36,71,13,11,11,11.67,101,0,0,0,100
Belarus,93,10.95,,,27,10,2,29,24,14,43,86,18,13,13,14.67,91,0,0,4,90
Bangladesh,93,10.57,3.52,-15,32,6,2,43,36,32,23,79,15,9,9,11,104,0,0,4,89
Malawi,93,10.51,3.12,-15,8,16,13,15,9,19,1,113,20,29,9,19.33,77,19,15,0,58
Tajikistan,97,9.7,,,15,14,4,25,8,14,23,103,16,29,9,18,82,0,10,0,81
Namibia,98,9.08,1.73,-20,25,8,0,28,15,29,35,88,10,8,21,13,97,0,0,0,105
Senegal,98,8.74,-1.59,-28,24,9,0,31,15,35,21,92,18,11,11,13.33,96,0,0,0,109
Sierra Leone,100,8.47,3.02,-14,23,5,7,32,8,49,12,96,8,11,11,10,108,19,0,0,73
Palestine,100,8.24,,,23,7,2,21,20,20,35,94,10,13,13,12,99,0,0,4,91
Bosnia and Herzegovina,100,8.02,,,24,7,0,4,15,55,31,91,11,11,13,11.67,100,0,0,0,94
Benin,103,7.32,-1.15,-27,13,13,0,12,2,37,15,108,19,20,11,16.67,84,0,0,0,93
Haiti,104,6.27,6.27,-12,19,6,0,12,27,13,31,101,9,7,18,11.33,103,0,0,0,99
Botswana,104,5.89,-0.62,-26,21,4,0,38,11,25,19,98,9,11,9,9.67,110,0,0,0,95
Lebanon,104,5.82,,,17,7,0,5,21,13,35,102,7,20,9,12,98,0,0,0,102
Cameroon,107,5.15,-1.42,-29,12,5,7,20,5,10,23,109,10,11,9,10,107,18,0,0,74
Zambia,108,3.82,-1.09,-22,14,5,0,23,11,20,11,107,8,11,11,10,109,0,0,0,114
Pakistan,108,3.59,-2.64,-23,15,4,0,15,13,19,21,104,13,5,9,9,113,0,0,0,106
Mozambique,110,3.46,-4.68,-34,14,4,0,16,8,27,16,106,9,10,9,9.33,111,0,0,0,104
Mali,111,2.46,-1.52,-23,12,3,0,22,0,25,13,110,8,10,8,8.67,114,0,0,0,103
Zimbabwe,111,1.87,-1.51,-21,9,4,0,11,7,18,11,112,7,10,11,9.33,112,0,0,0,115
Myanmar,113,1.33,-2.23,-25,2,5,4,8,3,11,0,114,8,15,9,10.67,106,10,0,0,85
Swaziland,114,0.28,,,10,0,0,11,8,16,14,111,6,7,5,6,115,0,0,0,111
Yemen,114,0,-1.43,-23,0,6,0,0,2,8,4,115,6,16,11,11,105,0,0,0,113
